State;Up;Down;Left;Right;Stay
1|1|1|1000|0|-1;-157.8116;77.84274;28.58648;-13.79125;-162.5618
1|1|1|0000|0|-1;-412.0659;41.71877;35.46512;-560.6826;-415.0102
1|0|1|1000|0|-1;-429.2216;57.90135;34.67464;-316.609;-566.1952
1|0|0|1000|0|-1;-4342.603;-873.9864;-883.3185;-5183.37;-5081.437
0|0|0|1000|1|0;-500;0;0;0;0
-1|-1|1|0000|1|0;-40.16978;-766.8251;-118.9883;76.91166;-156.9238
-1|-1|1|0000|0|-1;-185.1052;-426.2157;-190.9822;-185.6267;-813.2218
-1|-1|1|1000|0|-1;-532.8735;-575.3609;-333.888;-302.4129;-474.8368
-1|-1|0|1000|0|-1;-982.9954;-3810.701;-4436.96;-917.3457;-987.2841
-1|0|0|1000|0|-1;-4702.885;-876.0281;-5732.905;-884.6104;-5126.653
0|0|0|1000|0|-1;-1980;-1500;-1490;-1500;-1097.951
0|-1|0|0000|0|1;-884.4145;-5458.637;-884.4412;-884.4507;-7041.528
0|0|0|0000|0|1;-2955;-2695;-3825.4;-2945.3;-2597.45
1|1|2|0000|0|1;143.0917;163.7192;164.0494;148.7951;-30.79544
1|1|2|0010|0|1;115.0611;123.9195;-60.7202;95.74661;-64.70601
0|1|2|0010|0|1;2.412088;134.4798;-74.96455;153.9217;-81.79788
0|1|1|0010|0|1;-925.6666;32.89172;-490.3188;35.79867;-208.2139
-1|1|1|0000|0|1;-157.6554;0.5708419;-231.9157;24.56532;-390.2813
0|1|1|0000|0|1;-447.0506;4.857619;6.999939;-136.767;-396.3625
0|1|0|0000|0|1;-4597.208;-885.6985;-883.6882;-885.7014;-5122.14
0|0|0|0000|0|-1;-1800;-2470;-1980;-2079.5;-1500
1|-1|2|1000|0|-1;-87.70354;64.36233;72.45604;67.82449;-284.3679
1|-1|2|0000|0|1;152.9632;79.75603;161.8375;56.9851;-60.15867
1|-1|1|1000|0|-1;-388.3665;-242.9769;-78.87856;-354.7162;-659.3134
1|-1|1|0000|0|1;60.14378;-284.0217;59.0086;-603.7474;-167.8971
1|-1|0|1000|0|-1;-977.6267;-1197.616;-878.5809;-2549.402;-985.751
1|0|0|0000|1|0;-875.6716;-881.7895;-881.7911;-4946.815;-2825.254
0|0|0|0000|-1|0;0;0;0;0;0
1|1|2|0000|1|0;137.4471;170.2777;180.7967;152.742;-39.32894
1|1|2|0000|-1|0;63.71705;163.6859;166.9865;138.303;-68.15359
1|0|1|0000|-1|0;44.52807;79.17713;79.36595;-76.4366;-191.3951
1|0|0|0000|-1|0;-861.9313;-861.9607;-862.0428;-3602.531;-1897.418
0|0|0|0000|1|0;0;0;0;0;0
-1|-1|2|0001|0|1;120.1445;90.04955;102.1069;-82.36806;-82.46349
0|-1|2|0001|0|1;122.678;-19.07919;161.4536;-65.80815;-100.2959
0|-1|1|0001|0|1;19.08242;-764.8279;81.26953;-405.8959;-688.267
0|-1|1|0000|0|1;35.54989;-435.6229;70.93339;-26.58947;-301.6111
0|-1|0|0001|0|1;-882.3788;-4749.258;-882.0631;-3936.562;-1283.133
0|0|0|0001|0|1;0;0;0;0;0
0|1|2|0000|0|1;44.55486;164.0447;156.8781;145.9192;-113.5413
